x_logit_normal,pdf_logit_normal_mu_-1,pdf_logit_normal_mu_0,pdf_logit_normal_mu_1
0.462,0.733575790176886,0.800196643416024,0.679790107079232
0.463,0.732728103868751,0.800076171018248,0.680371638988576
0.464,0.731884575942529,0.799958951861396,0.680956218431214
0.465,0.731045186520685,0.799844982628948,0.681543856422807
0.466,0.730209915887902,0.799734260098149,0.68213456406888
0.467,0.729378744489628,0.799626781139768,0.6827283525655
0.468,0.728551652930635,0.799522542717857,0.683325233199942
0.469,0.727728621973601,0.799421541889524,0.683925217351382
0.47,0.726909632537701,0.799323775804707,0.684528316491583
0.471,0.726094665697217,0.799229241705963,0.685134542185595
0.472,0.72528370268017,0.799137936928252,0.685743906092456
0.473,0.724476724866955,0.799049858898742,0.686356419965911
0.474,0.723673713789003,0.798965005136613,0.686972095655125
0.475,0.722874651127453,0.798883373252868,0.687590945105415
0.476,0.722079518711842,0.798804960950152,0.688212980358983
0.477,0.721288298518803,0.798729766022583,0.68883821355566
0.478,0.720500972670789,0.798657786355583,0.689466656933654
0.479,0.719717523434802,0.798589019925716,0.69009832283031
0.48,0.718937933221138,0.798523464800543,0.690733223682875
0.481,0.718162184582152,0.798461119138468,0.691371372029274
0.482,0.71739026021103,0.798401981188605,0.692012780508893
0.483,0.716622142940578,0.798346049290646,0.692657461863367
0.484,0.715857815742024,0.798293321874733,0.693305428937381
0.485,0.715097261723834,0.798243797461345,0.693956694679477
0.486,0.714340464130543,0.79819747466118,0.694611272142872
0.487,0.713587406341591,0.798154352175059,0.695269174486281
0.488,0.712838071870183,0.798114428793823,0.695930414974753
0.489,0.712092444362157,0.798077703398241,0.696595006980512
0.49,0.71135050759486,0.798044174958932,0.697262963983809
0.491,0.710612245476044,0.798013842536284,0.697934299573784
0.492,0.70987764204277,0.797986705280382,0.698609027449337
0.493,0.709146681460325,0.797962762430948,0.699287161420006
0.494,0.708419348021152,0.797942013317283,0.699968715406857
0.495,0.707695626143787,0.797924457358214,0.700653703443382
0.496,0.706975500371817,0.797910094062055,0.701342139676411
0.497,0.70625895537284,0.797898923026567,0.702034038367025
0.498,0.705545975937443,0.797890943938928,0.702729413891492
0.499,0.704836546978185,0.79788615657571,0.703428280742197
0.5,0.704130653528599,0.797884560802865,0.704130653528599
0.501,0.703428280742197,0.79788615657571,0.704836546978185
0.502,0.702729413891492,0.797890943938928,0.705545975937443
0.503,0.702034038367025,0.797898923026567,0.70625895537284
0.504,0.701342139676411,0.797910094062055,0.706975500371817
0.505,0.700653703443382,0.797924457358214,0.707695626143787
0.506,0.699968715406857,0.797942013317283,0.708419348021152
0.507,0.699287161420006,0.797962762430948,0.709146681460325
0.508,0.698609027449337,0.797986705280382,0.70987764204277
0.509,0.697934299573784,0.798013842536284,0.710612245476044
0.51,0.697262963983809,0.798044174958932,0.71135050759486
0.511,0.696595006980512,0.798077703398241,0.712092444362157
0.512,0.695930414974753,0.798114428793823,0.712838071870184
0.513,0.695269174486281,0.798154352175059,0.713587406341591
0.514,0.694611272142872,0.79819747466118,0.714340464130543
0.515,0.693956694679477,0.798243797461345,0.715097261723834
0.516,0.693305428937381,0.798293321874733,0.715857815742024
0.517,0.692657461863367,0.798346049290646,0.716622142940578
0.518,0.692012780508893,0.798401981188605,0.71739026021103
0.519,0.691371372029274,0.798461119138468,0.718162184582152
0.52,0.690733223682875,0.798523464800543,0.718937933221138
0.521,0.69009832283031,0.798589019925716,0.719717523434802
0.522,0.689466656933654,0.798657786355583,0.720500972670789
0.523,0.68883821355566,0.798729766022583,0.721288298518803
0.524,0.688212980358983,0.798804960950152,0.722079518711842
0.525,0.687590945105415,0.798883373252867,0.722874651127453
0.526,0.686972095655125,0.798965005136613,0.723673713789003
0.527,0.686356419965911,0.799049858898742,0.724476724866955
0.528,0.685743906092456,0.799137936928252,0.72528370268017
0.529,0.685134542185595,0.799229241705963,0.726094665697217
0.53,0.684528316491583,0.799323775804707,0.726909632537701
0.531,0.683925217351382,0.799421541889524,0.727728621973601
0.532,0.683325233199942,0.799522542717857,0.728551652930635
0.533,0.6827283525655,0.799626781139768,0.729378744489627
0.534,0.682134564068881,0.799734260098149,0.730209915887902
