Eff_vals_pdf,dt_0wk_conv,dt_5wk_conv,dt_10wk_conv,dt_15wk_conv,dt_20wk_conv,dt_25wk_conv,dt_30wk_conv,dt_35wk_conv,dt_40wk_conv,dt_45wk_conv,dt_50wk_conv
0.072,0.0100000000000001,0.0400000000000005,0.080000000000001,0.130000000000002,0.210000000000003,0.290000000000004,0.610000000000008,0.660000000000009,1.18000000000002,1.34000000000002,1.96000000000003
0.073,0.02,0.0699999999999999,0.04,0.13,0.29,0.3,0.43,0.749999999999999,1.17,1.63,2.12
0.074,0.02,0.00999999999999999,0.03,0.0899999999999999,0.17,0.38,0.5,0.689999999999999,1.12,1.36,2.34
0.075,0.02,0.02,0.0899999999999999,0.03,0.19,0.28,0.43,0.849999999999999,1.21,1.65,2.04
0.076,0.00999999999999999,0.02,0.0799999999999999,0.0999999999999999,0.15,0.27,0.529999999999999,0.789999999999999,1.03,1.5,2.25
0.077,0,0.0799999999999999,0.0799999999999999,0.12,0.23,0.24,0.5,0.859999999999999,1.17,1.37,1.99
0.078,0.00999999999999999,0.03,0.0799999999999999,0.0899999999999999,0.16,0.35,0.529999999999999,0.669999999999999,1.07,1.84,1.97
0.079,0.00999999999999999,0.05,0.03,0.0799999999999999,0.29,0.41,0.47,0.729999999999999,1.18,1.48,2.3
0.08,0.03,0.04,0.05,0.14,0.22,0.31,0.41,0.759999999999999,0.969999999999999,1.48,1.86
0.081,0.02,0.04,0.04,0.21,0.15,0.35,0.529999999999999,0.869999999999999,1.19,1.65,2.17
0.082,0.04,0.04,0.0599999999999999,0.11,0.28,0.5,0.539999999999999,0.929999999999999,1.06,1.56,1.92
0.083,0,0.04,0.0699999999999999,0.0999999999999999,0.22,0.33,0.49,0.869999999999999,1.13,1.55,2
0.084,0.02,0.00999999999999999,0.12,0.15,0.2,0.42,0.669999999999999,0.799999999999999,1.26,1.47,1.79
0.085,0.00999999999999999,0.00999999999999999,0.0999999999999999,0.17,0.14,0.37,0.51,0.929999999999999,1.22,1.45,1.88
0.086,0.03,0.03,0.0699999999999999,0.12,0.28,0.37,0.51,0.829999999999999,1.04,1.6,2.06
0.087,0.0100000000000001,0.0100000000000001,0.120000000000002,0.120000000000002,0.210000000000003,0.400000000000005,0.660000000000009,0.77000000000001,0.950000000000012,1.58000000000002,2.09000000000003
0.088,0.00999999999999999,0.0599999999999999,0.0699999999999999,0.04,0.15,0.29,0.639999999999999,0.869999999999999,0.999999999999999,1.49,2.32
0.089,0.02,0.02,0.05,0.0999999999999999,0.19,0.43,0.689999999999999,0.949999999999999,1.24,1.5,1.84
