x_normal,Normal_pdf_mu_-1,Normal_pdf_mu_0,Normal_pdf_mu_1
-6.861,8.81473388230318e-05,8.8147338823032e-05,8.8147338823032e-05
-6.86,8.83207296737856e-05,8.83207296737855e-05,8.83207296737855e-05
-6.859,8.84944394706346e-05,8.84944394706346e-05,8.84944394706346e-05
-6.858,8.8668468753944e-05,8.86684687539441e-05,8.86684687539441e-05
-6.857,8.88428180649021e-05,8.8842818064902e-05,8.8842818064902e-05
-6.856,8.90174879455201e-05,8.90174879455201e-05,8.90174879455201e-05
-6.855,8.91924789386351e-05,8.91924789386351e-05,8.91924789386351e-05
-6.854,8.93677915879105e-05,8.93677915879104e-05,8.93677915879104e-05
-6.853,8.95434264378357e-05,8.95434264378357e-05,8.95434264378357e-05
-6.852,8.97193840337294e-05,8.97193840337294e-05,8.97193840337294e-05
-6.851,8.98956649217395e-05,8.98956649217396e-05,8.98956649217396e-05
-6.85,9.00722696488444e-05,9.00722696488444e-05,9.00722696488444e-05
-6.849,9.02491987628532e-05,9.02491987628532e-05,9.02491987628532e-05
-6.848,9.04264528124087e-05,9.04264528124088e-05,9.04264528124088e-05
-6.847,9.0604032346987e-05,9.06040323469868e-05,9.06040323469868e-05
-6.846,9.07819379168984e-05,9.07819379168984e-05,9.07819379168984e-05
-6.845,9.09601700732897e-05,9.09601700732899e-05,9.09601700732899e-05
-6.844,9.11387293681451e-05,9.1138729368145e-05,9.1138729368145e-05
-6.843,9.13176163542855e-05,9.13176163542855e-05,9.13176163542855e-05
-6.842,9.14968315853718e-05,9.1496831585372e-05,9.1496831585372e-05
-6.841,9.16763756159056e-05,9.16763756159054e-05,9.16763756159054e-05
-6.84,9.18562490012286e-05,9.18562490012286e-05,9.18562490012286e-05
-6.839,9.20364522975257e-05,9.20364522975257e-05,9.20364522975257e-05
-6.838,9.22169860618256e-05,9.22169860618254e-05,9.22169860618254e-05
-6.837,9.23978508520006e-05,9.23978508520006e-05,9.23978508520006e-05
-6.836,9.25790472267695e-05,9.25790472267695e-05,9.25790472267695e-05
-6.835,9.27605757456979e-05,9.27605757456981e-05,9.27605757456981e-05
-6.834,9.29424369691993e-05,9.29424369691993e-05,9.29424369691993e-05
-6.833,9.31246314585354e-05,9.31246314585354e-05,9.31246314585354e-05
-6.832,9.33071597758191e-05,9.33071597758192e-05,9.33071597758192e-05
-6.831,9.34900224840142e-05,9.3490022484014e-05,9.3490022484014e-05
-6.83,9.36732201469362e-05,9.36732201469362e-05,9.36732201469362e-05
-6.829,9.38567533292548e-05,9.38567533292549e-05,9.38567533292549e-05
-6.828,9.40406225964942e-05,9.4040622596494e-05,9.4040622596494e-05
-6.827,9.42248285150334e-05,9.42248285150334e-05,9.42248285150334e-05
-6.826,9.44093716521092e-05,9.44093716521094e-05,9.44093716521094e-05
-6.825,9.45942525758161e-05,9.4594252575816e-05,9.4594252575816e-05
-6.824,9.47794718551066e-05,9.47794718551066e-05,9.47794718551066e-05
-6.823,9.49650300597943e-05,9.49650300597943e-05,9.49650300597943e-05
-6.822,9.51509277605541e-05,9.5150927760554e-05,9.5150927760554e-05
-6.821,9.53371655289221e-05,9.53371655289221e-05,9.53371655289221e-05
-6.82,9.55237439372988e-05,9.55237439372988e-05,9.55237439372988e-05
-6.819,9.57106635589492e-05,9.57106635589493e-05,9.57106635589493e-05
-6.818,9.58979249680039e-05,9.58979249680039e-05,9.58979249680039e-05
-6.817,9.60855287394595e-05,9.60855287394595e-05,9.60855287394595e-05
-6.816,9.62734754491817e-05,9.62734754491818e-05,9.62734754491818e-05
-6.815,9.64617656739048e-05,9.64617656739046e-05,9.64617656739046e-05
-6.814,9.66503999912325e-05,9.66503999912325e-05,9.66503999912325e-05
-6.813,9.68393789796409e-05,9.6839378979641e-05,9.6839378979641e-05
-6.812,9.70287032184781e-05,9.70287032184779e-05,9.70287032184779e-05
-6.811,9.72183732879652e-05,9.72183732879652e-05,9.72183732879652e-05
